Genre,Category,Refined Category
Bass Music,Other,Other
Bass Trip,Other,Other
Bassline,Other,Other
Beach Music,Other,Other
Beatdown,Other,Other
Beats &amp; Rhymes,Other,Other
Bebop,Other,Other
Belorush,Other,Other
Bemani,Other,Other
Benga,Other,Other
Bhangra,Other,Other
Big Band,Other,Other
Big Beat,Other,Other
Big Room,Other,Other
Black Death,Other,Other
Black Sludge,Other,Other
Black Thrash,Other,Other
Blackgaze,Other,Other
Blaskapelle,Other,Other
Bluegrass,Other,Other
Bmore,Other,Other
Bolero,Other,Other
Boogaloo,Other,Other
Boogie-woogie,Other,Other
Bossa Nova,Other,Other
Bounce,Other,Other
Boy Band,Other,Other
Brass Band,Other,Other
Brass Ensemble,Other,Other
Brazilian Composition,Other,Other
Brazilian Gospel,Other,Other
Breakbeat,Other,Other
Breakcore,Other,Other
Breaks,Other,Other
Brega,Other,Other
British Brass Band,Other,Other
British Invasion,Other,Other
Broadway,Other,Other
Broken Beat,Other,Other
Brostep,Other,Other
Brutal Deathcore,Other,Other
Byzantine,Other,Other
C64,Other,Other
C86,Other,Other
Cabaret,Other,Other
Cajun,Other,Other
Calypso,Other,Other
Cantautor,Other,Other
Cante Flamenco,Other,Other
Canterbury Scene,Other,Other
Canzone Napoletana,Other,Other
Capoeira,Other,Other
Carnatic,Other,Other
Catstep,Other,Other
Ccm,Other,Other
Ceilidh,Other,Other
Cello,Other,Other
Celtic,Other,Other
Celtic Christmas,Other,Other
Chalga,Other,Other
Chanson,Other,Other
Chanson Quebecois,Other,Other
Chaotic Hardcore,Other,Other
Charred Death,Other,Other
Children's Christmas,Other,Other
Children's Music,Other,Other
Chill Groove,Other,Other
Chill Lounge,Other,Other
Chill-out,Other,Other
Chillstep,Other,Other
Chillwave,Other,Other
Chinese Opera,Other,Other
Chinese Traditional,Other,Other
Chiptune,Other,Other
Choral,Other,Other
Choro,Other,Other
Christian Christmas,Other,Other
Christian Hardcore,Other,Other
Christian Music,Other,Other
Christmas,Other,Other
Christmas Product,Other,Other
Cinematic Dubstep,Other,Other
Clarinet,Other,Other
Classic Afrobeat,Other,World Music
Classic Eurovision,Other,Other
Classic Schlager,Other,Other
Classic Soundtrack,Other,Other
College A Cappella,Other,Vocal
College Marching Band,Other,Other
Comedy,Other,Other
Comic,Other,Other
Commons,Other,Other
Complextro,Other,Other
Composition D,Other,Other
Concert Piano,Other,Other
Consort,Other,Other
Contemporary Post-bop,Other,Other
Corrosion,Other,Other
Coupe Decale,Other,Other
Coverchill,Other,Other
Cowboy Western,Other,Other
Crossover Prog,Other,Other
Crossover Thrash,Other,Other
Crunk,Other,Other
Cuban Rumba,Other,Other
Cubaton,Other,Other
Cumbia,Other,Other
Cumbia Funk,Other,Other
Cumbia Sonidera,Other,Other
Cumbia Villera,Other,Other
Dangdut,Other,Other
Dansband,Other,Other
Danseband,Other,Other
Dansktop,Other,Other
Dark Cabaret,Other,Other
Dark Electro-industrial,Other,Other
Dark Hardcore,Other,Other
Dark Wave,Other,Other
Darkstep,Other,Other
Death Core,Other,Other
Deathgrind,Other,Other
Deep Adult Standards,Other,Easy Listening
Deep Alternative R&amp;b,Other,Other
Deep Baroque,Other,Other
Deep Breakcore,Other,Other
Deep Ccm,Other,Other
Deep Cello,Other,Other
Deep Chill,Other,Other
Deep Chill-out,Other,Other
Deep Comedy,Other,Other
Deep Darkpsy,Other,Other
Deep Disco,Other,Other
Deep Discofox,Other,Other
Deep Downtempo Fusion,Other,Other
Deep Filthstep,Other,Other
Deep Flow,Other,Other
Deep Freestyle,Other,Other
Deep Full On,Other,Other
Deep Funk,Other,Other
Deep G Funk,Other,Other
Deep Happy Hardcore,Other,Other
Deep Hardcore,Other,Other
Deep Hardstyle,Other,Other
Deep Italo Disco,Other,Other
Deep Liquid,Other,Other
Deep Liquid Bass,Other,Other
Deep Motown,Other,Other
Deep New Wave,Other,Other
Deep Opera,Other,Other
Deep Orgcore,Other,Other
Deep Psychobilly,Other,Other
Deep Ragga,Other,Other
Deep Rai,Other,Other
Deep Regional Mexican,Other,Other
Deep Soundtrack,Other,Other
Deep String Quartet,Other,Other
Deep Sunset Lounge,Other,Other
Deep Surf Music,Other,Other
Deep Talent Show,Other,Other
Demoscene,Other,Other
Desi,Other,Other
Didgeridoo,Other,Other
Digital Hardcore,Other,Other
Disco,Other,Other
Discofox,Other,Other
Dixieland,Other,Other
Djent,Other,Other
Doo-wop,Other,Other
Doomcore,Other,Other
Doujin,Other,Other
Downtempo,Other,Other
Downtempo Fusion,Other,Other
Downtempo Trip Hop,Other,Other
Drama,Other,Other
Dreamo,Other,Other
Drill And Bass,Other,Other
Drone,Other,Other
Drone Psych,Other,Other
Drum And Bass,Other,Other
Drumfunk,Other,Other
Dub,Other,Other
Dubstep,Other,Other
Dubstep Product,Other,Other
Dubsteppe,Other,Other
Duranguense,Other,Other
E6fi,Other,Other
Early Music,Other,Other
Early Music Ensemble,Other,Other
Easy Listening,Other,Other
Ebm,Other,Other
Ecuadoria,Other,Other
Edm,Other,Other
Electro,Other,Other
Electro Dub,Other,Other
Electro Swing,Other,Other
Electro Trash,Other,Other
Electro-industrial,Other,Other
Electroclash,Other,Other
Electrofox,Other,Other
Emo,Other,Other
Enka,Other,Other
Entehno,Other,Other
Environmental,Other,Other
Epicore,Other,Other
Ethereal Gothic,Other,Other
Ethereal Wave,Other,Other
Eurobeat,Other,Other
Euroska,Other,Other
Eurovision,Other,Other
Exotica,Other,Other
Fado,Other,Other
Fake,Other,Other
Fallen Angel,Other,Other
Filmi,Other,Other
Filthstep,Other,Other
Fingerstyle,Other,Other
Finnish Hardcore,Other,Other
Flamenco,Other,Other
Flick Hop,Other,Other
Footwork,Other,Other
Forro,Other,Other
Freakbeat,Other,Other
Free Improvisation,Other,Other
Freestyle,Other,Other
French Movie Tunes,Other,Other
Full On,Other,Other
Funeral Doom,Other,Other
Funk,Other,Other
Funk Carioca,Other,Other
Funky Breaks,Other,Other
Future Garage,Other,Other
G Funk,Other,Other
Gabba,Other,Other
Galego,Other,Other
Gamecore,Other,Other
Gamelan,Other,Other
Gbvfi,Other,Other
German Ccm,Other,Other
German Oi,Other,Other
German Show Tunes,Other,Other
Ghettotech,Other,Other
Ghoststep,Other,Other
Girl Group,Other,Other
Glitch,Other,Other
Glitch Beats,Other,Other
Glitch Hop,Other,Other
Goregrind,Other,Other
Gospel,Other,Other
Gothic Alternative,Other,Other
Gothic Americana,Other,Country
Gothic Doom,Other,Other
Grave Wave,Other,Other
Grime,Other,Other
Grindcore,Other,Other
Grunge,Other,Other
Grupera,Other,Other
Hands Up,Other,Other
Happy Hardcore,Other,Other
Hard Alternative,Other,Other
Hard Bop,Other,Other
Hard Glam,Other,Other
Hardcore,Other,Other
Hardcore Breaks,Other,Other
Hardstyle,Other,Other
Harp,Other,Other
Hatecore,Other,Other
Hauntology,Other,Other
Hawaiian,Other,Other
Healing,Other,Other
Heavy Alternative,Other,Other
Heavy Christmas,Other,Other
Hi Nrg,Other,Other
Highlife,Other,Other
Hiplife,Other,Other
Hoerspiel,Other,Other
Hollywood,Other,Other
Honky Tonk,Other,Other
Horrorcore,Other,Other
Hurban,Other,Other
Hyphy,Other,Other
Idol,Other,Other
Illbient,Other,Other
Industrial,Other,Other
Iskelma,Other,Other
Islamic Recitation,Other,Other
Italian Disco,Other,Other
J-alt,Other,Other
J-core,Other,Other
J-idol,Other,Other
J-theme,Other,Other
Jam Band,Other,Other
Japanese Psychedelic,Other,Other
Japanese R&amp;b,Other,Other
Japanese Standards,Other,Other
Japanese Traditional,Other,Other
Japanoise,Other,Other
Jerk,Other,Other
Jig And Reel,Other,Other
Judaica,Other,Other
Jug Band,Other,Other
Juggalo,Other,Other
Jump Up,Other,Other
Jumpstyle,Other,Other
Jungle,Other,Other
K-hop,Other,Other
Kabarett,Other,Other
Karneval,Other,Other
Kindermusik,Other,Other
Kirtan,Other,Other
Kizomba,Other,Other
Klapa,Other,Other
Klezmer,Other,Other
Kompa,Other,Other
Kuduro,Other,Other
Kwaito,Other,Other
Laboratorio,Other,Other
Laiko,Other,Other
Lds,Other,Other
Levenslied,Other,Other
Liedermacher,Other,Other
Light Music,Other,Other
Lilith,Other,Other
Liquid Funk,Other,Other
Lithumania,Other,Other
Liturgical,Other,Other
Lo Star,Other,Other
Lo-fi,Other,Other
Lounge,Other,Other
Lowercase,Other,Other
Luk Thung,Other,Other
Madchester,Other,Other
Maghreb,Other,Other
Magyar,Other,Other
Makossa,Other,Other
Mallet,Other,Other
Mambo,Other,Other
Manele,Other,Other
Marching Band,Other,Other
Mariachi,Other,Other
Martial Industrial,Other,Other
Mashup,Other,Other
Mathcore,Other,Other
Mbalax,Other,Other
Medieval,Other,Other
Meditation,Other,Other
Melancholia,Other,Other
Melbourne Bounce,Other,Other
Mellow Gold,Other,Other
Melodic Hardcore,Other,Other
Merengue,Other,Other
Merengue Urbano,Other,Other
Merseybeat,Other,Other
Mexican Son,Other,Other
Mexican Traditional,Other,Other
Miami Bass,Other,Other
Military Band,Other,Other
Minimal,Other,Other
Minimal Dub,Other,Other
Minimal Dubstep,Other,Other
Minimal Wave,Other,Other
Mizrahi,Other,Other
Mod Revival,Other,Other
Modern Downshift,Other,Other
Modern Performance,Other,Other
Modern Uplift,Other,Other
Monastic,Other,Other
Moombahton,Other,Other
Morna,Other,Other
Motivation,Other,Other
Motown,Other,Other
Movie Tunes,Other,Other
Mpb,Other,Other
Musica Para Ninos,Other,Other
Musiikkia Lapsille,Other,Other
Musique Concrete,Other,Other
Musique Pour Enfants,Other,Other
Muziek Voor Kinderen,Other,Other
Nasheed,Other,Other
Nashville Sound,Other,Other
Native American,Other,Other
Necrogrind,Other,Other
Neo Honky Tonk,Other,Other
Neo Mellow,Other,Other
Neo-pagan,Other,Other
Neo-progressive,Other,Other
Neo-psychedelic,Other,Other
Neo-singer-songwriter,Other,Other
Nepali,Other,Other
Nerdcore,Other,Other
Neue Deutsche Harte,Other,Other
Neue Deutsche Welle,Other,Other
Neurofunk,Other,Other
Neurostep,Other,Other
New Age,Other,Other
New Age Piano,Other,Other
New Americana,Other,Country
New Beat,Other,Other
New Jack Smooth,Other,Other
New Jack Swing,Other,Other
New Rave,Other,Other
New Romantic,Other,Other
New Tribe,Other,Other
New Wave,Other,Other
New Weird America,Other,Other
Ninja,Other,Other
Nintendocore,Other,Other
No Wave,Other,Other
Noise,Other,Other
Norteno,Other,Other
Norwegian Gospel,Other,Other
Nu Age,Other,Other
Nu Disco,Other,Other
Nu Electro,Other,Other
Nu Gaze,Other,Other
Nu Skool Breaks,Other,Other
Nu-cumbia,Other,Other
Nueva Cancion,Other,Other
Nursery,Other,Other
Nwobhm,Other,Other
Nwothm,Other,Other
Oi,Other,Other
Old-time,Other,Other
Opera,Other,Other
Opm,Other,Other
Oratory,Other,Other
Orgcore,Other,Other
Orquesta Tipica,Other,Other
Orquesta Tropical,Other,Other
Oshare Kei,Other,Other
Outsider,Other,Other
P Funk,Other,Other
Pagode,Other,Other
Permanent Wave,Other,Other
Persian Traditional,Other,Other
Pipe Band,Other,Other
Poetry,Other,Other
Polka,Other,Other
Polyphony,Other,Other
Porro,Other,Other
Post-disco,Other,Other
Post-grunge,Other,Other
Post-hardcore,Other,Other
Post-post-hardcore,Other,Other
Power Noise,Other,Other
Power Violence,Other,Other
Praise,Other,Other
Progressive Alternative,Other,Other
Progressive Bluegrass,Other,Other
Psych Gaze,Other,Other
Psychill,Other,Other
Psychobilly,Other,Other
Punjabi,Other,Other
Qawwali,Other,Other
Quebecois,Other,Other
Quiet Storm,Other,Other
R&amp;b,Other,Other
Ragga Jungle,Other,Other
Ragtime,Other,Other
Rai,Other,Other
Ranchera,Other,Other
Reading,Other,Other
Rebetiko,Other,Other
Regional Mexican,Other,Other
Relaxative,Other,Other
Remix,Other,Other
Renaissance,Other,Other
Retro Electro,Other,Other
Rhythm And Boogie,Other,Other
Riddim,Other,Other
Rio De La Plata,Other,Other
Riot Grrrl,Other,Other
Romantic,Other,Other
Rumba,Other,Other
Russian Alternative,Other,Other
Salsa,Other,Other
Salsa International,Other,Other
Samba,Other,Other
Saxophone,Other,Other
Schlager,Other,Other
Schranz,Other,Other
Scorecore,Other,Other
Scratch,Other,Other
Screamo,Other,Other
Screamocore,Other,Other
Sega,Other,Other
Serialism,Other,Other
Sertanejo,Other,Other
Sertanejo Tradicional,Other,Other
Sertanejo Universitario,Other,Other
Sevdah,Other,Other
Shanty,Other,Other
Shibuya-kei,Other,Other
Shimmer Psych,Other,Other
Shoegaze,Other,Other
Show Tunes,Other,Other
Singer-songwriter,Other,Other
Sinhala,Other,Other
Ska,Other,Other
Ska Revival,Other,Other
Skiffle,Other,Other
Skinhead Oi,Other,Other
Skweee,Other,Other
Sleep,Other,Other
Slow Core,Other,Other
Smooth Urban R&amp;b,Other,Other
Soca,Other,Other
Solipsynthm,Other,Other
Soukous,Other,Other
Soundtrack,Other,Other
Southern Gospel,Other,Other
Spanish Invasion,Other,Other
Spanish New Wave,Other,Other
Speed Garage,Other,Other
Speedcore,Other,Other
Spoken Word,Other,Other
Spytrack,Other,Other
Steelpan,Other,Other
Stomp And Flutter,Other,Other
Stomp And Holler,Other,Other
Stomp And Whittle,Other,Other
Straight Edge,Other,Other
Stride,Other,Other
String Band,Other,Other
String Quartet,Other,Other
Substep,Other,Other
Sunset Lounge,Other,Other
Surf Music,Other,Other
Swedish Prog,Other,Other
Swing,Other,Other
Swirl Psych,Other,Other
Talent Show,Other,Other
Tango,Other,Other
Tejano,Other,Other
Tekno,Other,Other
Terrorcore,Other,Other
Thrash Core,Other,Other
Throat Singing,Other,Other
Tibetan,Other,Other
Tico,Other,Other
Timba,Other,Other
Tin Pan Alley,Other,Other
Traditional Funk,Other,Other
Traditional Ska,Other,Other
Traditional Swing,Other,Other
Tribute,Other,Other
Trip Hop,Other,Other
Tropical,Other,Other
Trova,Other,Other
Turkish Alternative,Other,Other
Turntablism,Other,Other
Tzadik,Other,Other
Uk Dub,Other,Other
Uk Garage,Other,Other
Ukulele,Other,Other
Urban Contemporary,Other,Other
Vallenato,Other,Other
Vaporwave,Other,Other
Vegan Straight Edge,Other,Other
Velha Guarda,Other,Other
Video Game Music,Other,Other
Vintage Chanson,Other,Other
Vintage Gospel,Other,Other
Vintage Schlager,Other,Other
Vintage Swing,Other,Other
Vintage Swoon,Other,Other
Vintage Tango,Other,Other
Vintage Western,Other,Other
Violin,Other,Other
Visual Kei,Other,Other
Vocaloid,Other,Other
Volksmusik,Other,Other
Warm Drone,Other,Other
Western Swing,Other,Other
Wind Ensemble,Other,Other
Wonky,Other,Other
Workout,Other,Other
Worship,Other,Other
Wrestling,Other,Other
Ye Ye,Other,Other
Yoik,Other,Other
Zeuhl,Other,Other
Zillertal,Other,Other
Zim,Other,Other
Zolo,Other,Other
Zouglou,Other,Other
Zouk,Other,Other
Zydeco,Other,Other
